customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,42,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,61.69,2690.26,Yes
CUST-00001,Female,1,Yes,Yes,68,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),26.91,1835.33,No
CUST-00002,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),49.9,3029.46,No
CUST-00003,Male,0,Yes,No,69,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),64.26,4400.13,No
CUST-00004,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),41.65,2733.94,Yes
CUST-00005,Female,1,Yes,No,66,Yes,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),85.75,5696.3,No
CUST-00006,Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.7,5235.87,No
CUST-00007,Male,0,No,No,35,No,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,95.48,3409.48,Yes
CUST-00008,Male,0,No,No,70,No,No phone service,DSL,No,No,No,No,Yes,No internet service,Two year,No,Credit card (automatic),74.77,5179.68,No
CUST-00009,Female,0,No,No,14,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),63.6,841.41,No
CUST-00010,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),110.67,1932.5,Yes
CUST-00011,Male,0,No,No,3,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,29.45,46.92,Yes
CUST-00012,Male,0,No,No,10,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),69.09,674.24,No
CUST-00013,Male,0,No,No,5,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,50.11,257.12,No
CUST-00014,Female,0,Yes,No,50,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,62.54,3111.96,No
CUST-00015,Male,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,No,Mailed check,81.99,4743.8,No
CUST-00016,Female,0,No,Yes,59,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,75.79,4542.58,No
CUST-00017,Female,0,No,No,17,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,No,Two year,No,Mailed check,89.35,1572.06,No
CUST-00018,Female,1,No,No,66,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.83,1366.5,No
CUST-00019,Male,0,Yes,Yes,16,Yes,Yes,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.04,980.79,Yes
CUST-00020,Female,1,No,No,33,Yes,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,87.16,2827.24,No
CUST-00021,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,97.45,2870.48,Yes
CUST-00022,Female,0,Yes,No,18,No,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,29.4,497.23,No
CUST-00023,Female,1,No,Yes,8,Yes,Yes,No,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Electronic check,49.7,384.44,No
CUST-00024,Female,0,No,No,39,Yes,No,DSL,Yes,Yes,No internet service,No,No,No,Two year,No,Mailed check,76.51,3015.33,No
CUST-00025,Female,0,No,No,43,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.53,2496.19,No
CUST-00026,Female,0,No,Yes,58,Yes,No,No,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.02,3339.9,No
CUST-00027,Female,0,No,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,34.17,705.45,No
CUST-00028,Female,0,No,Yes,70,Yes,No,No,No,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),39.91,2744.34,No
CUST-00029,Female,0,No,No,52,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.09,2424.32,No
CUST-00030,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.75,4271.62,No
CUST-00031,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,59.53,4240.68,No
CUST-00032,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.03,1962.01,Yes
CUST-00033,Female,0,Yes,Yes,48,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),24.27,1221.99,No
CUST-00034,Female,0,No,No,42,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,74.14,3097.24,No
CUST-00035,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),38.55,640.51,Yes
CUST-00036,Female,1,No,No,65,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),76.99,5043.23,No
CUST-00037,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.52,2398.09,Yes
CUST-00038,Male,1,No,No,53,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),51.66,2747.97,Yes
CUST-00039,Male,0,Yes,No,0,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),41.43, ,Yes
CUST-00040,Male,0,Yes,No,54,Yes,No,No,No,No,No,No internet service,No,Yes,One year,No,Mailed check,61.67,3336.74,No
CUST-00041,Male,0,No,Yes,14,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),51.57,661.16,Yes
CUST-00042,Female,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,51.37,755.15,No
CUST-00043,Female,0,Yes,Yes,22,Yes,Yes,No,Yes,No,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),112.21,2497.88,No
CUST-00044,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),77.05,4960.32,No
CUST-00045,Female,0,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,84.03,3813.51,Yes
CUST-00046,Female,1,Yes,No,8,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),37.37,364.69,No
CUST-00047,Male,0,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,58.03,3761.52,No
CUST-00048,Female,0,Yes,No,65,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),43.84,2890.23,Yes
CUST-00049,Female,0,Yes,No,17,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,110.6,1911.79,Yes
CUST-00050,Male,0,No,No,16,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,No,Mailed check,63.87,1035.21,No
CUST-00051,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),109.49,7750.16,Yes
CUST-00052,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,68.23,2150.76,Yes
CUST-00053,Female,1,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,No,Credit card (automatic),115.5,7813.88,No
CUST-00054,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),86.98,5455.57,No
CUST-00055,Female,0,Yes,No,43,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),76.14,3242.8,No
CUST-00056,Female,0,No,No,28,Yes,Yes,No,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,83.01,2404.21,No
CUST-00057,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.03,1749.44,No
CUST-00058,Male,0,Yes,No,15,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),80.56,1234.3,No
CUST-00059,Male,0,No,No,51,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,48.26,2463.75,No
CUST-00060,Male,0,Yes,No,1,Yes,No,No,No,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),95.49,110.87,No
CUST-00061,Male,0,Yes,Yes,60,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),58.2,3427.41,Yes
CUST-00062,Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,105.21,272.98,Yes
CUST-00063,Male,0,No,Yes,51,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Mailed check,54.41,2814.8,Yes
CUST-00064,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),46.38,1854.34,No
CUST-00065,Female,0,No,No,51,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),68.51,3483.89,No
CUST-00066,Female,0,No,No,30,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),63.83,1900.14,No
CUST-00067,Male,1,No,Yes,25,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),23.66,624.49,Yes
CUST-00068,Female,1,No,No,26,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),94.84,2526.4,No
CUST-00069,Female,0,No,No,50,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,57.09,2870.78,No
CUST-00070,Female,0,No,No,47,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),63.89,3047.49,No
CUST-00071,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,One year,Yes,Mailed check,89.08,839.58,No
CUST-00072,Male,0,No,No,7,Yes,No,DSL,No internet service,Yes,No,No,Yes,No,One year,No,Mailed check,22.83,175.52,No
CUST-00073,Female,1,No,Yes,11,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,43.16,508.0,No
CUST-00074,Male,0,Yes,Yes,44,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),40.03,1726.67,No
CUST-00075,Female,1,No,Yes,33,Yes,No,DSL,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,70.7,2348.98,Yes
CUST-00076,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,103.53,7365.11,No
CUST-00077,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,65.73,2966.17,No
CUST-00078,Male,0,No,No,20,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),48.71,966.94,No
CUST-00079,Female,0,Yes,No,40,Yes,No,No,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,28.22,1060.36,Yes
CUST-00080,Male,1,No,No,21,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,Yes,Electronic check,18.27,328.04,No
CUST-00081,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,46.28,911.71,No
